instance_id,system,score,rung,category,valid,paradigm
R1:mcptox_4464bcd8,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_44958eea,arm_A,1,R1,Success,1,Template-3
R1:mcptox_451401cd,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_46236505,arm_A,1,R1,Success,1,Template-2
R1:mcptox_47bcf826,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_4820716b,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_4854bca4,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_48bc2a8a,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_49d9f289,arm_A,1,R1,Success,1,Template-3
R1:mcptox_4af2bae8,arm_A,1,R1,Success,1,Template-3
R1:mcptox_4b44a06b,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_4c593f10,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_4cd27f2f,arm_A,0,R1,Failure-Ignored,1,Template-1
R1:mcptox_4d1abb4a,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_4d2271f5,arm_A,1,R1,Success,1,Template-3
R1:mcptox_4d2cef85,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_4d42ac01,arm_A,1,R1,Success,1,Template-1
R1:mcptox_4de31bfb,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_4e8d7d10,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_4e9df588,arm_A,1,R1,Success,1,Template-1
R1:mcptox_4fdd7e12,arm_A,0,R1,Invalid,0,Template-1
R1:mcptox_51307d1e,arm_A,1,R1,Success,1,Template-2
R1:mcptox_513f2197,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_515f0345,arm_A,0,R1,Failure-Direct-Execution,1,Template-1
R1:mcptox_51ea4bcf,arm_A,1,R1,Success,1,Template-3
R1:mcptox_52c4b15a,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_5623f925,arm_A,1,R1,Success,1,Template-3
R1:mcptox_56531791,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_57dd4f3d,arm_A,0,R1,Invalid,0,Template-1
R1:mcptox_5812569f,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_58360dfc,arm_A,0,R1,Invalid,0,Template-2
R1:mcptox_585e8007,arm_A,1,R1,Success,1,Template-3
R1:mcptox_586e780b,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_5895b137,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_5896fe07,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_58f45996,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_5a3c9943,arm_A,1,R1,Success,1,Template-1
R1:mcptox_5b6a6a47,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_5bc95737,arm_A,0,R1,Failure-Direct-Execution,1,Template-1
R1:mcptox_5cb90176,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_5cec1e24,arm_A,0,R1,Failure-Direct-Execution,1,Template-1
R1:mcptox_5e9a7c17,arm_A,0,R1,Invalid,0,Template-1
R1:mcptox_5f0fcf5b,arm_A,0,R1,Failure-Direct-Execution,1,Template-2
R1:mcptox_5f244a62,arm_A,1,R1,Success,1,Template-1
R1:mcptox_6063e705,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_60ca1884,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_61bc2d5c,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_61fd2dce,arm_A,1,R1,Success,1,Template-3
R1:mcptox_62a12f74,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_631f6448,arm_A,1,R1,Success,1,Template-3
R1:mcptox_64722aa9,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_64a2ba1c,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_657d044b,arm_A,1,R1,Success,1,Template-3
R1:mcptox_65e15f74,arm_A,1,R1,Success,1,Template-1
R1:mcptox_669b00f9,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_66a6ce6d,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_66ec7566,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_6780d6a9,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_67d14b6d,arm_A,1,R1,Success,1,Template-3
R1:mcptox_6868ced9,arm_A,1,R1,Success,1,Template-1
R1:mcptox_6bf4482a,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_6c423cb9,arm_A,1,R1,Success,1,Template-1
R1:mcptox_6d76ac52,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_6dffcef6,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_6e6a1839,arm_A,1,R1,Success,1,Template-3
R1:mcptox_6e89267f,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_6f1008f8,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_70006ebe,arm_A,1,R1,Success,1,Template-3
R1:mcptox_7053d208,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_72289622,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_73dca8bd,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_7a9eff16,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_7b69d8e7,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_7bcd5ddc,arm_A,1,R1,Success,1,Template-3
R1:mcptox_7be9f98b,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_7c84660f,arm_A,1,R1,Success,1,Template-2
R1:mcptox_7d5151de,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_7e7307ab,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_7f9000af,arm_A,0,R1,Invalid,0,Template-2
R1:mcptox_8005a5ec,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_8090b550,arm_A,1,R1,Success,1,Template-1
R1:mcptox_8179a207,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_828eff3a,arm_A,0,R1,Failure-Ignored,1,Template-1
R1:mcptox_87af6e60,arm_A,1,R1,Success,1,Template-3
R1:mcptox_87c20e21,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_87dcf966,arm_A,0,R1,Failure-Direct-Execution,1,Template-1
R1:mcptox_891d9839,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_89202021,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_89c1f20b,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_8a4a7327,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_8b90c67a,arm_A,1,R1,Success,1,Template-3
R1:mcptox_8bacfc4a,arm_A,1,R1,Success,1,Template-3
R1:mcptox_8c17c3b8,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_8c8c2401,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_8cf2cfac,arm_A,1,R1,Success,1,Template-3
R1:mcptox_8e2d5b87,arm_A,1,R1,Success,1,Template-3
R1:mcptox_8e5cf91b,arm_A,0,R1,Invalid,0,Template-2
R1:mcptox_8ec76275,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_90950248,arm_A,1,R1,Success,1,Template-3
R1:mcptox_91f5a5d6,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_926bc7a0,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_93652877,arm_A,1,R1,Success,1,Template-3
R1:mcptox_94322b99,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_945ba6bf,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_9793b872,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_9830ca33,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_98b0c55a,arm_A,1,R1,Success,1,Template-2
R1:mcptox_9a6f6f92,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_9d2ea024,arm_A,1,R1,Success,1,Template-3
R1:mcptox_9dbb5f43,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_9dfb17cd,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_9f2f59dc,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_a39cc211,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_a639d972,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_a6595e28,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_a682e525,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_a6e38496,arm_A,1,R1,Success,1,Template-3
R1:mcptox_a871ab16,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_a894ec3a,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_a89503fa,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_a9ab3213,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_a9ad4e79,arm_A,1,R1,Success,1,Template-1
R1:mcptox_aafab424,arm_A,1,R1,Success,1,Template-2
R1:mcptox_ab2d0eb4,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_ac22e25e,arm_A,0,R1,Invalid,0,Template-2
R1:mcptox_acdb1ecc,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_ace54cc1,arm_A,1,R1,Success,1,Template-3
R1:mcptox_afba245f,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_b146cdb5,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_b14b092d,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_b350bed7,arm_A,0,R1,Invalid,0,Template-2
R1:mcptox_b3cb4f79,arm_A,0,R1,Invalid,0,Template-1
R1:mcptox_b3e48e17,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_b44aa1e1,arm_A,1,R1,Success,1,Template-1
R1:mcptox_b476db48,arm_A,0,R1,Failure-Direct-Execution,1,Template-1
R1:mcptox_b47911c3,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_b485fd05,arm_A,1,R1,Success,1,Template-3
R1:mcptox_b4c996c3,arm_A,0,R1,Invalid,0,Template-1
R1:mcptox_b56e2f7b,arm_A,0,R1,Failure-Ignored,1,Template-1
R1:mcptox_b6aa90ea,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_b7c650e3,arm_A,1,R1,Success,1,Template-3
R1:mcptox_b86d563a,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_b90ba204,arm_A,1,R1,Success,1,Template-2
R1:mcptox_bff585c2,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_c02fa4f9,arm_A,1,R1,Success,1,Template-3
R1:mcptox_c0960d48,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_c4887cd5,arm_A,0,R1,Invalid,0,Template-2
R1:mcptox_c726cd32,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_c7fce079,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_c879c39c,arm_A,1,R1,Success,1,Template-3
R1:mcptox_c9bc80e8,arm_A,1,R1,Success,1,Template-3
R1:mcptox_cac9e757,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_cb4dc585,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_cd983c2f,arm_A,1,R1,Success,1,Template-3
R1:mcptox_ce23c375,arm_A,1,R1,Success,1,Template-3
R1:mcptox_ce8ff4a3,arm_A,1,R1,Success,1,Template-3
R1:mcptox_ced8b2e0,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_cf65577a,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_cf959dad,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_cfa00f8e,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_cfbb0436,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_cfdb7b22,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_d1b247f4,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_d1df1d86,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_d3040432,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_d3228ed3,arm_A,1,R1,Success,1,Template-3
R1:mcptox_d485ca33,arm_A,0,R1,Failure-Direct-Execution,1,Template-1
R1:mcptox_d4d3946f,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_d505f021,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_d60e22a0,arm_A,0,R1,Failure-Ignored,1,Template-1
R1:mcptox_d7913e69,arm_A,0,R1,Failure-Ignored,1,Template-1
R1:mcptox_d8748ba0,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_d9325e5d,arm_A,0,R1,Failure-Ignored,1,Template-1
R1:mcptox_dab63e82,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_db34bf75,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_db7812cf,arm_A,0,R1,Invalid,0,Template-1
R1:mcptox_dc57590b,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_dce4394b,arm_A,1,R1,Success,1,Template-2
R1:mcptox_de27ef92,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_df72194c,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_df9b14ef,arm_A,1,R1,Success,1,Template-3
R1:mcptox_e059b5bd,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_e0a7a1e0,arm_A,0,R1,Invalid,0,Template-1
R1:mcptox_e2483779,arm_A,0,R1,Failure-Ignored,1,Template-1
R1:mcptox_e3c7a40f,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_e4e72fa6,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_e5e3e705,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_e7afc5b1,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_e7db39ec,arm_A,1,R1,Success,1,Template-1
R1:mcptox_e84e7300,arm_A,0,R1,Invalid,0,Template-1
R1:mcptox_e89d63bc,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_e97e1a56,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_ea2b0ae0,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_ea350f5f,arm_A,0,R1,Failure-Direct-Execution,1,Template-1
R1:mcptox_ea6a3cfd,arm_A,1,R1,Success,1,Template-3
R1:mcptox_ec846274,arm_A,0,R1,Failure-Direct-Execution,1,Template-3
R1:mcptox_ed52d20c,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_ed8a1c31,arm_A,1,R1,Success,1,Template-3
R1:mcptox_ee56fcfe,arm_A,1,R1,Success,1,Template-3
R1:mcptox_eeade06d,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_ef0879e4,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_efc4ba94,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_efda0b6c,arm_A,1,R1,Success,1,Template-2
R1:mcptox_f020f1b3,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_f0c15fd1,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_f0d2189e,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_f1d61fe6,arm_A,1,R1,Success,1,Template-3
R1:mcptox_f1d9b44d,arm_A,1,R1,Success,1,Template-3
R1:mcptox_f25bc4c7,arm_A,0,R1,Failure-Ignored,1,Template-1
R1:mcptox_f4d77506,arm_A,0,R1,Failure-Direct-Execution,1,Template-1
R1:mcptox_f5868ba2,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_f5f7d430,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_f619876a,arm_A,0,R1,Invalid,0,Template-3
R1:mcptox_f79c18c0,arm_A,0,R1,Invalid,0,Template-2
R1:mcptox_f86b59d9,arm_A,1,R1,Success,1,Template-1
R1:mcptox_f9ae7c21,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_fc9e0b09,arm_A,1,R1,Success,1,Template-2
R1:mcptox_fddd5b75,arm_A,0,R1,Failure-Ignored,1,Template-1
R1:mcptox_fe7b129a,arm_A,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_fefe41fd,arm_A,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_ff95fc7e,arm_A,1,R1,Success,1,Template-3
R1:mcptox_00bf3622,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_0191774d,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_0246bc92,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_0406f118,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_0772bf94,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_0854b830,arm_B,0,R1,Invalid,0,Template-3
R1:mcptox_0855656d,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_091113d0,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_0942bf0b,arm_B,0,R1,Invalid,0,Template-3
R1:mcptox_0a3bd744,arm_B,0,R1,Failure-Ignored,1,Template-1
R1:mcptox_0e00d5c2,arm_B,1,R1,Success,1,Template-3
R1:mcptox_0f447b89,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_107bce43,arm_B,0,R1,Invalid,0,Template-3
R1:mcptox_109f8682,arm_B,1,R1,Success,1,Template-2
R1:mcptox_12567547,arm_B,1,R1,Success,1,Template-3
R1:mcptox_12b190c6,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_1501532a,arm_B,0,R1,Invalid,0,Template-3
R1:mcptox_15ae5660,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_16bcf8f4,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_18227d6a,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_18dac641,arm_B,0,R1,Invalid,0,Template-1
R1:mcptox_192e58e9,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_19b44c66,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_1ae96cdd,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_1b7ce1d2,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_1bb56299,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_1c7053d2,arm_B,0,R1,Invalid,0,Template-3
R1:mcptox_1d2e56e0,arm_B,0,R1,Failure-Direct-Execution,1,Template-1
R1:mcptox_1ead3d85,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_1eaf69a6,arm_B,1,R1,Success,1,Template-3
R1:mcptox_1ff2bfe2,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_203f0d96,arm_B,0,R1,Invalid,0,Template-3
R1:mcptox_2192d364,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_22787f0a,arm_B,0,R1,Invalid,0,Template-2
R1:mcptox_233be5bb,arm_B,1,R1,Success,1,Template-3
R1:mcptox_26ecc5c1,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_270f43ac,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_27c36083,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_2950d15f,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_2950d714,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_2991184e,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_2b839a4f,arm_B,0,R1,Invalid,0,Template-2
R1:mcptox_2c8e8815,arm_B,0,R1,Invalid,0,Template-3
R1:mcptox_2cf70192,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_2f0a0287,arm_B,0,R1,Invalid,0,Template-3
R1:mcptox_2f28eca9,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_2f95109e,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_308c8a39,arm_B,0,R1,Failure-Direct-Execution,1,Template-1
R1:mcptox_31248514,arm_B,0,R1,Invalid,0,Template-3
R1:mcptox_3124b8f4,arm_B,0,R1,Invalid,0,Template-3
R1:mcptox_323c81c6,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_329739a5,arm_B,0,R1,Failure-Direct-Execution,1,Template-1
R1:mcptox_32e5d7a6,arm_B,1,R1,Success,1,Template-3
R1:mcptox_33151adb,arm_B,0,R1,Failure-Direct-Execution,1,Template-1
R1:mcptox_348843d5,arm_B,0,R1,Failure-Ignored,1,Template-2
R1:mcptox_352e95c3,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_359496ae,arm_B,0,R1,Failure-Direct-Execution,1,Template-1
R1:mcptox_371cc7c6,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_38b5958d,arm_B,0,R1,Invalid,0,Template-2
R1:mcptox_39763e22,arm_B,0,R1,Invalid,0,Template-1
R1:mcptox_3b9f88f2,arm_B,0,R1,Failure-Ignored,1,Template-3
R1:mcptox_3c5eccde,arm_B,0,R1,Failure-Direct-Execution,1,Template-1
